v1,v2,I
0.849911,-0.032284,0.514256
0.904315,-0.004936,0.488779
0.964910,0.033667,0.473500
1.030527,0.081793,0.470367
1.099587,0.137707,0.480811
1.170556,0.199578,0.505736
1.241699,0.265571,0.545547
1.309707,0.333839,0.600130
1.377830,0.402233,0.668724
1.467014,0.469415,0.750610
1.478595,0.539729,0.846912
1.540951,0.605487,0.947932
1.577250,0.642707,1.060829
1.597638,0.702386,1.175507
1.616563,0.730535,1.292437
1.612072,0.763369,1.409187
1.598299,0.778856,1.520861
1.567434,0.781350,1.626172
1.532433,0.770367,1.720523
1.458590,0.739716,1.802530
1.414791,0.701352,1.866400
1.309969,0.617368,1.913719
1.224115,0.561476,1.935911
1.121691,0.418043,1.935974
1.007786,0.319947,1.906201
0.896058,0.145902,1.848384
0.780549,0.002682,1.759238
0.662336,-0.179467,1.639142
0.549321,-0.333529,1.489926
0.440815,-0.490743,1.312820
0.339215,-0.611944,1.114255
0.246062,-0.709290,0.898124
0.165722,-0.768720,0.673706
0.092423,-0.796872,0.447973
0.028322,-0.794090,0.229745
-0.030464,-0.766351,0.025964
-0.087446,-0.716708,-0.157151
-0.144909,-0.649240,-0.315158
-0.203457,-0.566004,-0.444703
-0.262776,-0.470079,-0.543849
-0.322534,-0.365212,-0.611990
-0.382771,-0.257443,-0.650191
-0.443826,-0.154109,-0.661230
-0.505608,-0.063221,-0.649512
-0.565209,0.008596,-0.620608
-0.615780,0.057716,-0.580508
-0.656092,0.084870,-0.534687
-0.694820,0.093302,-0.487906
-0.739166,0.085823,-0.444367
-0.791700,0.064319,-0.407521
-0.852624,0.030386,-0.380219
-0.921583,-0.014431,-0.364786
-0.997056,-0.068666,-0.363088
-1.076738,-0.130779,-0.376494
-1.158895,-0.199059,-0.405883
-1.243117,-0.271772,-0.451680
-1.324187,-0.347489,-0.513949
-1.404886,-0.424226,-0.591950
-1.474200,-0.500436,-0.685085
-1.554269,-0.574207,-0.791057
-1.600476,-0.644800,-0.910210
-1.646676,-0.714719,-1.036760
-1.680330,-0.766061,-1.170856
-1.699979,-0.818454,-1.307647
-1.694417,-0.854006,-1.444446
-1.693164,-0.882567,-1.576778
-1.664835,-0.885914,-1.703263
-1.619648,-0.895119,-1.818601
-1.559542,-0.865600,-1.921065
-1.481517,-0.834202,-2.005796
-1.391030,-0.764013,-2.070649
-1.285780,-0.683601,-2.110938
-1.171853,-0.563640,-2.124635
-1.044389,-0.427797,-2.107186
-0.918553,-0.255331,-2.056507
-0.778949,-0.065587,-1.969625
-0.644932,0.141557,-1.845120
-0.490251,0.354009,-1.683478
-0.381409,0.553814,-1.484756
-0.262662,0.730575,-1.257010
-0.148948,0.851534,-1.004829
-0.047385,0.936220,-0.737838
0.045505,0.971499,-0.467851
0.132539,0.971737,-0.204318
0.219118,0.938678,0.041930
0.309934,0.881597,0.263808
0.407024,0.802003,0.455016
0.510525,0.704240,0.611862
0.620328,0.591667,0.732365
0.736541,0.473384,0.817513
0.855451,0.361607,0.871445
0.943476,0.271734,0.901421
0.980443,0.211597,0.914472
1.007508,0.174687,0.915932
1.035888,0.151665,0.911794
1.065877,0.144142,0.905527
1.092837,0.148191,0.900214
1.134630,0.162206,0.897902
1.160081,0.184607,0.901702
1.189946,0.215295,0.910844
1.218231,0.243657,0.927301
1.243546,0.276872,0.950252
1.265077,0.306852,0.979296
1.283556,0.336119,1.013720
1.295321,0.360720,1.052280
1.302892,0.381565,1.093571
1.306732,0.395533,1.136133
1.301062,0.404537,1.178561
1.297279,0.406648,1.218831
1.275644,0.401207,1.256379
1.248204,0.391451,1.288193
1.220837,0.366786,1.313363
1.185175,0.337552,1.330425
1.149692,0.300200,1.337722
1.108924,0.256535,1.335143
1.051466,0.209537,1.321580
1.001996,0.155451,1.295690
0.946523,0.093895,1.258231
0.895637,0.034726,1.208172
0.845431,-0.027408,1.146923
0.795553,-0.082361,1.075322
0.747934,-0.134256,0.994718
0.711995,-0.177925,0.907144
0.671455,-0.212517,0.815149
0.641414,-0.236727,0.720309
0.619272,-0.251924,0.625933
0.604450,-0.255061,0.534196
0.601172,-0.248344,0.447676
0.604368,-0.230444,0.368981
0.618392,-0.203783,0.299837
0.642757,-0.168255,0.242363
0.677612,-0.125419,0.197784
0.722547,-0.076004,0.167327
0.777644,-0.021436,0.151648
0.842164,0.037382,0.151237
0.916279,0.099264,0.166186
0.995980,0.163620,0.196490
1.080642,0.229218,0.241688
1.168105,0.295663,0.301404
1.255987,0.362438,0.374956
1.340555,0.429345,0.461662
1.425747,0.495770,0.560546
1.541768,0.562134,0.671147
