t,I,V,I',V'
1595.843238,-0.305560,nan,-0.305560,-57.264260
1595.883429,-0.309970,nan,-0.309970,-57.454640
1595.923619,-0.313130,nan,-0.313130,-57.594510
1595.963810,-0.316810,nan,-0.316810,-57.779300
1596.004000,-0.319290,nan,-0.319290,-57.973620
1596.044190,-0.322440,nan,-0.322440,-58.137220
1596.084381,-0.323680,nan,-0.323680,-58.248210
1596.124571,-0.326300,nan,-0.326300,-58.412490
1596.164762,-0.327220,nan,-0.327220,-58.607030
1596.204952,-0.329110,nan,-0.329110,-58.777700
1596.245143,-0.330250,nan,-0.330250,-58.899530
1596.285333,-0.329750,nan,-0.329750,-58.994800
1596.325524,-0.328690,nan,-0.328690,-59.138300
1596.365714,-0.327590,nan,-0.327590,-59.301620
1596.405905,-0.326650,nan,-0.326650,-59.393930
1596.446095,-0.322880,nan,-0.322880,-59.526730
1596.486286,-0.319020,nan,-0.319020,-59.670880
1596.526476,-0.315360,nan,-0.315360,-59.806030
1596.566667,-0.312400,nan,-0.312400,-59.900540
1596.606857,-0.309270,nan,-0.309270,-60.016990
1596.647048,-0.305540,nan,-0.305540,-60.104290
1596.687238,-0.301310,nan,-0.301310,-60.181430
1596.727429,-0.294160,nan,-0.294160,-60.319600
1596.767619,-0.290250,nan,-0.290250,-60.419220
1596.807810,-0.286950,nan,-0.286950,-60.502380
1596.848000,-0.281710,nan,-0.281710,-60.520600
1596.888190,-0.273780,nan,-0.273780,-60.560260
1596.928381,-0.269190,nan,-0.269190,-60.672400
1596.968571,-0.262480,nan,-0.262480,-60.803850
1597.008762,-0.256070,nan,-0.256070,-60.854470
1597.048952,-0.252050,nan,-0.252050,-60.848070
1597.089143,-0.249880,nan,-0.249880,-60.913060
1597.129333,-0.242450,nan,-0.242450,-60.977880
1597.169524,-0.233670,nan,-0.233670,-61.066070
1597.209714,-0.226490,nan,-0.226490,-61.091090
1597.249905,-0.224380,nan,-0.224380,-61.151720
1597.290095,-0.220780,nan,-0.220780,-61.141760
1597.330286,-0.216250,nan,-0.216250,-61.159360
1597.370476,-0.209360,nan,-0.209360,-61.193970
1597.410667,-0.204830,nan,-0.204830,-61.285380
1597.450857,-0.200520,nan,-0.200520,-61.358990
1597.491048,-0.198300,nan,-0.198300,-61.392170
1597.531238,-0.194240,nan,-0.194240,-61.351180
1597.571429,-0.189710,nan,-0.189710,-61.365580
1597.611619,-0.186450,nan,-0.186450,-61.451500
1597.651810,-0.183360,nan,-0.183360,-61.499980
1597.692000,-0.180480,nan,-0.180480,-61.469050
1597.732190,-0.178120,nan,-0.178120,-61.448250
1597.772381,-0.175950,nan,-0.175950,-61.492260
1597.812571,-0.171960,nan,-0.171960,-61.589830
1597.852762,-0.169180,nan,-0.169180,-61.647460
1597.892952,-0.165580,nan,-0.165580,-61.651170
1597.933143,-0.163950,nan,-0.163950,-61.624440
1597.973333,-0.163400,nan,-0.163400,-61.673590
1598.013524,-0.163100,nan,-0.163100,-61.765170
1598.053714,-0.160040,nan,-0.160040,-61.846030
1598.093905,-0.157700,nan,-0.157700,-61.903270
1598.134095,-0.157030,nan,-0.157030,-61.904860
1598.174286,-0.158570,nan,-0.158570,-61.911740
1598.214476,-0.158400,nan,-0.158400,-61.951740
1598.254667,-0.155850,nan,-0.155850,-62.021190
1598.294857,-0.153510,nan,-0.153510,-62.078790
1598.335048,-0.151830,nan,-0.151830,-62.145950
1598.375238,-0.151200,nan,-0.151200,-62.200520
1598.415429,-0.151150,nan,-0.151150,-62.233940
1598.455619,-0.151320,nan,-0.151320,-62.277430
1598.495810,-0.151400,nan,-0.151400,-62.324980
1598.536000,-0.152600,nan,-0.152600,-62.362440
1598.576190,-0.153390,nan,-0.153390,-62.365840
1598.616381,-0.151210,nan,-0.151210,-62.387060
1598.656571,-0.149850,nan,-0.149850,-62.445740
1598.696762,-0.149880,nan,-0.149880,-62.555720
1598.736952,-0.150820,nan,-0.150820,-62.618410
1598.777143,-0.150250,nan,-0.150250,-62.659540
1598.817333,-0.150110,nan,-0.150110,-62.692700
1598.857524,-0.150530,nan,-0.150530,-62.753820
1598.897714,-0.152200,nan,-0.152200,-62.817270
1598.937905,-0.152780,nan,-0.152780,-62.882550
1598.978095,-0.155120,nan,-0.155120,-62.934370
1599.018286,-0.155450,nan,-0.155450,-62.941480
1599.058476,-0.155350,nan,-0.155350,-62.937300
1599.098667,-0.155770,nan,-0.155770,-63.002660
1599.138857,-0.158360,nan,-0.158360,-63.109740
1599.179048,-0.159170,nan,-0.159170,-63.179120
1599.219238,-0.158990,nan,-0.158990,-63.243330
1599.259429,-0.159170,nan,-0.159170,-63.304190
1599.299619,-0.160450,nan,-0.160450,-63.354570
1599.339810,-0.162390,nan,-0.162390,-63.398010
1599.380000,-0.163920,nan,-0.163920,-63.489230
1599.420190,-0.166240,nan,-0.166240,-63.505360
1599.460381,-0.167680,nan,-0.167680,-63.555930
1599.500571,-0.168520,nan,-0.168520,-63.612570
1599.540762,-0.170580,nan,-0.170580,-63.716860
1599.580952,-0.174120,nan,-0.174120,-63.794980
1599.621143,-0.174050,nan,-0.174050,-63.905920
1599.661333,-0.174270,nan,-0.174270,-63.934950
1599.701524,-0.175630,nan,-0.175630,-63.997270
1599.741714,-0.179480,nan,-0.179480,-64.052850
1599.781905,-0.181980,nan,-0.181980,-64.144720
1599.822095,-0.186320,nan,-0.186320,-64.250480
