v1,v2,I
-1.264517,-0.339513,-1.533997
-1.200957,-0.275657,-1.536998
-1.128048,-0.208158,-1.523819
-1.055385,-0.130128,-1.494124
-0.968108,-0.060031,-1.447069
-0.885909,0.018671,-1.383619
-0.800970,0.094276,-1.304420
-0.720410,0.170193,-1.210769
-0.638781,0.236620,-1.103780
-0.565682,0.299746,-0.986235
-0.496794,0.351227,-0.859959
-0.437754,0.393820,-0.728370
-0.386453,0.422099,-0.594070
-0.346185,0.437500,-0.460846
-0.316353,0.437798,-0.331920
-0.298572,0.424033,-0.211028
-0.287798,0.391032,-0.101309
-0.288998,0.345466,-0.006463
-0.298679,0.285548,0.071115
-0.318635,0.215891,0.129085
-0.348697,0.139283,0.166329
-0.389662,0.059450,0.182679
-0.443335,-0.019181,0.179009
