file_N:28,train,seed:None,percent:2417,integrated,n:0, N:4
t,V,V'
11.878221,-64.032212,-64.031226
11.898514,-64.031226,-64.029997
11.920184,-64.029997,-64.028818
11.941637,-64.028818,-64.028212
11.961885,-64.028212,-64.028247
11.982813,-64.028247,-64.028404
12.004831,-64.028404,-64.028698
12.02627,-64.028698,-64.028527
12.046714,-64.028527,-64.027512
12.06879,-64.027512,-64.025885
12.089768,-64.025885,-64.023808
12.111432,-64.023808,-64.021812
12.132811,-64.021812,-64.020193
12.154768,-64.020193,-64.019438
12.176525,-64.019438,-64.019664
12.196651,-64.019664,-64.020518
12.216825,-64.020518,-64.022392
12.237582,-64.022392,-64.024959
12.258362,-64.024959,-64.027464
12.278695,-64.027464,-64.029594
12.299456,-64.029594,-64.031315
12.321181,-64.031315,-64.032514
12.341925,-64.032514,-64.033016
12.362527,-64.033016,-64.033281
12.385175,-64.033281,-64.033841
12.406108,-64.033841,-64.034607
12.427519,-64.034607,-64.035303
12.448621,-64.035303,-64.035803
12.470714,-64.035803,-64.0361
12.492378,-64.0361,-64.036604
12.513426,-64.036604,-64.037075
12.533628,-64.037075,-64.037788
12.555744,-64.037788,-64.038644
12.576499,-64.038644,-64.039336
12.597306,-64.039336,-64.039731
12.619965,-64.039731,-64.039694
12.642016,-64.039694,-64.039244
12.664495,-64.039244,-64.038441
12.686511,-64.038441,-64.037826
12.707579,-64.037826,-64.037304
12.73005,-64.037304,-64.037375
12.750124,-64.037375,-64.038272
12.770355,-64.038272,-64.039588
12.791785,-64.039588,-64.040424
12.813842,-64.040424,-64.040627
12.833978,-64.040627,-64.039816
12.855474,-64.039816,-64.0383
12.876948,-64.0383,-64.036669
12.89699,-64.036669,-64.035692
12.918115,-64.035692,-64.035443
12.940596,-64.035443,-64.035832
12.961663,-64.035832,-64.036847
12.983076,-64.036847,-64.038016
13.004613,-64.038016,-64.038795
13.024755,-64.038795,-64.039743
13.045385,-64.039743,-64.041106
13.066854,-64.041106,-64.042442
13.087771,-64.042442,-64.043829
13.10871,-64.043829,-64.045155
13.129605,-64.045155,-64.046428
13.150704,-64.046428,-64.047395
13.172472,-64.047395,-64.047832
13.194239,-64.047832,-64.048071
13.21697,-64.048071,-64.048327
13.239461,-64.048327,-64.048081
13.262382,-64.048081,-64.047147
13.284618,-64.047147,-64.046607
13.305124,-64.046607,-64.048607
13.326167,-64.048607,-64.056265
13.347653,-64.056265,-64.071216
13.368539,-64.071216,-64.093802
13.388667,-64.093802,-64.123123
13.408734,-64.123123,-64.157059
13.429281,-64.157059,-64.191379
13.449605,-64.191379,-64.224265
13.470024,-64.224265,-64.254839
13.490743,-64.254839,-64.283018
13.511862,-64.283018,-64.307718
13.532183,-64.307718,-64.330589
13.552878,-64.330589,-64.35169
13.573973,-64.35169,-64.369938
13.594219,-64.369938,-64.386394
13.614921,-64.386394,-64.400942
13.636208,-64.400942,-64.413171
13.656719,-64.413171,-64.424413
13.67771,-64.424413,-64.434947
13.699057,-64.434947,-64.443852
13.719365,-64.443852,-64.451832
13.74021,-64.451832,-64.458877
13.761584,-64.458877,-64.464227
13.782233,-64.464227,-64.468586
13.803894,-64.468586,-64.471617
13.824998,-64.471617,-64.473891
13.845584,-64.473891,-64.476261
13.8665,-64.476261,-64.478406
13.887477,-64.478406,-64.480452
13.908956,-64.480452,-64.482695
13.930293,-64.482695,-64.485355
13.950969,-64.485355,-64.488212
13.971001,-64.488212,-64.490465
13.991415,-64.490465,-64.49206
14.01328,-64.49206,-64.493099
14.034803,-64.493099,-64.49392
14.055285,-64.49392,-64.495034
14.075615,-64.495034,-64.49738
14.095691,-64.49738,-64.501869
14.116731,-64.501869,-64.50777
14.137824,-64.50777,-64.514046
14.158409,-64.514046,-64.521018
14.178554,-64.521018,-64.529312
14.199736,-64.529312,-64.538135
14.220496,-64.538135,-64.54733
14.241053,-64.54733,-64.557147
14.261338,-64.557147,-64.56726
14.281381,-64.56726,-64.578138
14.302802,-64.578138,-64.590022
14.324016,-64.590022,-64.603457
14.344663,-64.603457,-64.618136
14.364818,-64.618136,-64.634941
14.385922,-64.634941,-64.652565
14.40673,-64.652565,-64.670381
14.427404,-64.670381,-64.687973
14.4481,-64.687973,-64.705767
14.46881,-64.705767,-64.724227
14.489392,-64.724227,-64.743015
14.509853,-64.743015,-64.762398
14.530205,-64.762398,-64.782378
14.550402,-64.782378,-64.802377
14.570544,-64.802377,-64.822779
14.590641,-64.822779,-64.845066
14.611875,-64.845066,-64.868028
14.632969,-64.868028,-64.891513
14.653932,-64.891513,-64.915046
14.674858,-64.915046,-64.938759
14.69575,-64.938759,-64.96203
14.716689,-64.96203,-64.985045
14.737723,-64.985045,-65.008535
14.758724,-65.008535,-65.032652
14.779615,-65.032652,-65.057322
14.800389,-65.057322,-65.082524
14.82107,-65.082524,-65.108034
14.841665,-65.108034,-65.133172
14.862278,-65.133172,-65.15781
14.882996,-65.15781,-65.18211
14.903797,-65.18211,-65.206198
14.924665,-65.206198,-65.230262
14.945561,-65.230262,-65.254096
14.966488,-65.254096,-65.277795
14.987464,-65.277795,-65.301083
15.008501,-65.301083,-65.324008
15.029637,-65.324008,-65.34686
15.050819,-65.34686,-65.369335
15.072057,-65.369335,-65.39003
15.09215,-65.39003,-65.410598
15.112316,-65.410598,-65.431272
15.13248,-65.431272,-65.451731
15.152666,-65.451731,-65.471827
15.172929,-65.471827,-65.491565
15.193283,-65.491565,-65.510918
15.213734,-65.510918,-65.529881
15.234287,-65.529881,-65.54843
15.254952,-65.54843,-65.566783
15.275707,-65.566783,-65.585112
15.296481,-65.585112,-65.602927
15.317338,-65.602927,-65.620091
15.338379,-65.620091,-65.637072
15.359543,-65.637072,-65.654241
15.3807,-65.654241,-65.671333
15.401835,-65.671333,-65.687824
15.423088,-65.687824,-65.702417
15.443235,-65.702417,-65.71612
15.46368,-65.71612,-65.729091
15.484417,-65.729091,-65.741558
15.505396,-65.741558,-65.754085
15.526468,-65.754085,-65.766843
15.547467,-65.766843,-65.779579
15.568436,-65.779579,-65.792299
15.589412,-65.792299,-65.804539
15.610488,-65.804539,-65.816055
15.631825,-65.816055,-65.826019
15.652058,-65.826019,-65.835113
15.672701,-65.835113,-65.843549
15.693754,-65.843549,-65.851453
15.715174,-65.851453,-65.858565
15.735271,-65.858565,-65.865303
15.755563,-65.865303,-65.87142
15.776219,-65.87142,-65.876725
15.797463,-65.876725,-65.88097
15.817768,-65.88097,-65.884817
15.8386,-65.884817,-65.888142
15.860058,-65.888142,-65.890891
15.880343,-65.890891,-65.893325
15.901044,-65.893325,-65.895031
15.92291,-65.895031,-65.895903
15.945023,-65.895903,-65.896124
15.965774,-65.896124,-65.895716
15.987901,-65.895716,-65.894575
16.009186,-65.894575,-65.893337
16.03099,-65.893337,-65.892366
16.051053,-65.892366,-65.891352
16.07139,-65.891352,-65.890022
16.09326,-65.890022,-65.888827
16.115241,-65.888827,-65.887124
16.136535,-65.887124,-65.884345
16.15797,-65.884345,-65.880418
16.179543,-65.880418,-65.875989
16.200294,-65.875989,-65.871015
16.220453,-65.871015,-65.865034
16.241745,-65.865034,-65.85849
16.262536,-65.85849,-65.851372
16.282927,-65.851372,-65.843827
16.302958,-65.843827,-65.834971
16.324199,-65.834971,-65.825522
16.345011,-65.825522,-65.816085
16.365685,-65.816085,-65.807012
16.386463,-65.807012,-65.797975
16.407359,-65.797975,-65.788994
16.428246,-65.788994,-65.780571
16.449318,-65.780571,-65.772467
16.470669,-65.772467,-65.764108
16.492031,-65.764108,-65.755034
16.513088,-65.755034,-65.745374
16.533771,-65.745374,-65.735649
16.554308,-65.735649,-65.725985
16.574822,-65.725985,-65.716993
16.595515,-65.716993,-65.709069
16.616738,-65.709069,-65.702295
16.636903,-65.702295,-65.695997
16.657446,-65.695997,-65.690025
16.678285,-65.690025,-65.684424
16.699405,-65.684424,-65.679553
16.720997,-65.679553,-65.676121
16.741908,-65.676121,-65.673727
16.762354,-65.673727,-65.671398
16.783607,-65.671398,-65.668979
16.804682,-65.668979,-65.667471
16.8266,-65.667471,-65.667578
16.846781,-65.667578,-65.669109
16.867891,-65.669109,-65.672165
16.889074,-65.672165,-65.67664
16.91007,-65.67664,-65.681545
16.930178,-65.681545,-65.687301
16.951558,-65.687301,-65.693865
16.972405,-65.693865,-65.701481
16.99257,-65.701481,-65.710756
17.013603,-65.710756,-65.720882
17.034112,-65.720882,-65.731396
17.054339,-65.731396,-65.742196
17.074421,-65.742196,-65.754278
17.095773,-65.754278,-65.767299
17.116809,-65.767299,-65.781162
17.137518,-65.781162,-65.795716
17.157957,-65.795716,-65.810796
17.17821,-65.810796,-65.826397
17.198293,-65.826397,-65.843221
17.219601,-65.843221,-65.860069
17.240904,-65.860069,-65.877518
17.262116,-65.877518,-65.896054
17.283086,-65.896054,-65.915968
