file_N:23,train,seed:None,percent:5275,measured,n:3,N:4
t,I,V,V'
1058.24,-0.04134,-60.67371,-60.67714
1058.25,-0.04084,-60.67714,-60.67712
1058.26,-0.04047,-60.67712,-60.67677
1058.27,-0.04011,-60.67677,-60.6783
1058.28,-0.04003,-60.6783,-60.68
1058.29,-0.03998,-60.68,-60.67541
1058.3,-0.03996,-60.67541,-60.67025
1058.31,-0.03994,-60.67025,-60.6698
1058.32,-0.0402,-60.6698,-60.6698
1058.33,-0.04049,-60.6698,-60.675
1058.34,-0.04101,-60.675,-60.68068
1058.35,-0.04156,-60.68068,-60.68891
1058.3600000000001,-0.04209,-60.68891,-60.69738
1058.3700000000001,-0.04262,-60.69738,-60.69562
1058.38,-0.04274,-60.69562,-60.69289
1058.39,-0.04282,-60.69289,-60.68961
1058.4,-0.04292,-60.68961,-60.68627
1058.41,-0.04302,-60.68627,-60.6923
1058.42,-0.04322,-60.6923,-60.6992
1058.43,-0.04342,-60.6992,-60.70005
1058.44,-0.04327,-60.70005,-60.70033
1058.45,-0.04308,-60.70033,-60.69673
1058.46,-0.04291,-60.69673,-60.69277
1058.47,-0.04273,-60.69277,-60.69823
1058.48,-0.04258,-60.69823,-60.70457
1058.49,-0.04243,-60.70457,-60.7049
1058.5,-0.04217,-60.7049,-60.70467
1058.51,-0.04189,-60.70467,-60.69631
1058.52,-0.04177,-60.69631,-60.6872
1058.53,-0.04167,-60.6872,-60.67222
1058.54,-0.04154,-60.67222,-60.6567
1058.55,-0.0414,-60.6567,-60.6451
1058.56,-0.04195,-60.6451,-60.63387
1058.57,-0.04256,-60.63387,-60.635
1058.58,-0.04287,-60.635,-60.63727
1058.59,-0.04314,-60.63727,-60.638
1058.6,-0.04319,-60.638,-60.63858
1058.6100000000001,-0.04323,-60.63858,-60.65247
1058.6200000000001,-0.04298,-60.65247,-60.66761
1058.63,-0.0427,-60.66761,-60.67649
1058.64,-0.04239,-60.67649,-60.68478
1058.65,-0.04208,-60.68478,-60.68712
1058.66,-0.04173,-60.68712,-60.68891
1058.67,-0.04137,-60.68891,-60.68927
1058.68,-0.04082,-60.68927,-60.6895
1058.69,-0.04025,-60.6895,-60.68182
1058.7,-0.03979,-60.68182,-60.6734
1058.71,-0.03935,-60.6734,-60.67028
1058.72,-0.03941,-60.67028,-60.66765
1058.73,-0.03952,-60.66765,-60.66824
1058.74,-0.03971,-60.66824,-60.66913
1058.75,-0.03991,-60.66913,-60.66067
1058.76,-0.04032,-60.66067,-60.65132
1058.77,-0.04075,-60.65132,-60.65879
1058.78,-0.04075,-60.65879,-60.66784
1058.79,-0.04072,-60.66784,-60.65163
1058.8,-0.04089,-60.65163,-60.63306
1058.81,-0.04109,-60.63306,-60.63421
1058.82,-0.04127,-60.63421,-60.63721
1058.83,-0.04146,-60.63721,-60.64595
1058.84,-0.04127,-60.64595,-60.65523
1058.85,-0.04105,-60.65523,-60.66042
1058.8600000000001,-0.04084,-60.66042,-60.66523
1058.8700000000001,-0.04063,-60.66523,-60.68016
1058.88,-0.04048,-60.68016,-60.69605
1058.89,-0.04034,-60.69605,-60.70638
1058.9,-0.0401,-60.70638,-60.71619
1058.91,-0.03985,-60.71619,-60.71146
1058.92,-0.03956,-60.71146,-60.70537
1058.93,-0.03927,-60.70537,-60.70863
1058.94,-0.03875,-60.70863,-60.71278
1058.95,-0.03822,-60.71278,-60.69314
1058.96,-0.03816,-60.69314,-60.67126
1058.97,-0.03815,-60.67126,-60.64782
1058.98,-0.03862,-60.64782,-60.62424
1058.99,-0.03914,-60.62424,-60.62245
1059.0,-0.03977,-60.62245,-60.62272
1059.01,-0.04041,-60.62272,-60.61326
1059.02,-0.04104,-60.61326,-60.60289
1059.03,-0.04168,-60.60289,-60.60191
1059.04,-0.04221,-60.60191,-60.60181
1059.05,-0.04273,-60.60181,-60.62192
1059.06,-0.04288,-60.62192,-60.64393
1059.07,-0.04299,-60.64393,-60.65334
1059.08,-0.04258,-60.65334,-60.66157
1059.09,-0.04211,-60.66157,-60.66799
1059.1,-0.04188,-60.66799,-60.67425
1059.1100000000001,-0.04166,-60.67425,-60.67778
1059.1200000000001,-0.04184,-60.67778,-60.68105
1059.13,-0.04207,-60.68105,-60.67151
1059.14,-0.04193,-60.67151,-60.66076
1059.15,-0.04176,-60.66076,-60.67884
1059.16,-0.04155,-60.67884,-60.69965
1059.17,-0.04133,-60.69965,-60.70562
1059.18,-0.04159,-60.70562,-60.7102
1059.19,-0.04189,-60.7102,-60.70768
1059.2,-0.04185,-60.70768,-60.70449
1059.21,-0.04178,-60.70449,-60.71409
1059.22,-0.04165,-60.71409,-60.72489
1059.23,-0.04151,-60.72489,-60.71695
1059.24,-0.04099,-60.71695,-60.70724
1059.25,-0.04043,-60.70724,-60.69647
1059.26,-0.04065,-60.69647,-60.6856
1059.27,-0.04095,-60.6856,-60.67637
1059.28,-0.04112,-60.67637,-60.66729
1059.29,-0.04128,-60.66729,-60.6705
1059.3,-0.04103,-60.6705,-60.67488
1059.31,-0.04073,-60.67488,-60.69257
1059.32,-0.04061,-60.69257,-60.71153
1059.33,-0.04049,-60.71153,-60.7151
1059.34,-0.04057,-60.7151,-60.71721
1059.35,-0.04067,-60.71721,-60.71447
1059.3600000000001,-0.04037,-60.71447,-60.71127
1059.3700000000001,-0.04003,-60.71127,-60.71266
1059.38,-0.03975,-60.71266,-60.7145
1059.39,-0.03947,-60.7145,-60.70586
1059.4,-0.03924,-60.70586,-60.69623
1059.41,-0.03902,-60.69623,-60.69416
1059.42,-0.0391,-60.69416,-60.69281
1059.43,-0.03922,-60.69281,-60.68522
1059.44,-0.03924,-60.68522,-60.67705
1059.45,-0.03925,-60.67705,-60.66986
1059.46,-0.03957,-60.66986,-60.66276
1059.47,-0.03993,-60.66276,-60.66109
1059.48,-0.04018,-60.66109,-60.65993
1059.49,-0.04042,-60.65993,-60.67283
1059.5,-0.04045,-60.67283,-60.68707
1059.51,-0.04047,-60.68707,-60.70569
1059.52,-0.04066,-60.70569,-60.72473
1059.53,-0.04086,-60.72473,-60.73276
1059.54,-0.04118,-60.73276,-60.73975
1059.55,-0.04151,-60.73975,-60.74928
1059.56,-0.04186,-60.74928,-60.75906
1059.57,-0.04221,-60.75906,-60.76027
1059.58,-0.04256,-60.76027,-60.76066
1059.59,-0.0429,-60.76066,-60.74839
1059.6,-0.04253,-60.74839,-60.73491
1059.6100000000001,-0.04209,-60.73491,-60.7002
1059.6200000000001,-0.04171,-60.7002,-60.66347
1059.63,-0.04134,-60.66347,-60.65936
1059.64,-0.04089,-60.65936,-60.65833
1059.65,-0.04044,-60.65833,-60.66791
