file_N:27,train,seed:None,percent:5025,measured,n:0, N:4
t,I,V,V'
2.23,-0.04309,-59.25971,-0.04301
2.24,-0.04301,-59.25798,-0.0432
2.25,-0.0432,-59.26958,-0.04345
2.2600000000000002,-0.04345,-59.28402,-0.0436
2.27,-0.0436,-59.2794,-0.04372
2.2800000000000002,-0.04372,-59.27074,-0.04357
2.29,-0.04357,-59.26464,-0.04336
2.3000000000000003,-0.04336,-59.25907,-0.04313
2.31,-0.04313,-59.25978,-0.04289
2.32,-0.04289,-59.26181,-0.04308
2.33,-0.04308,-59.23984,-0.04337
2.34,-0.04337,-59.21279,-0.04333
2.35,-0.04333,-59.21234,-0.04322
2.36,-0.04322,-59.21753,-0.04299
2.37,-0.04299,-59.22717,-0.04274
2.38,-0.04274,-59.23776,-0.04283
2.39,-0.04283,-59.23266,-0.043
2.4,-0.043,-59.22424,-0.04319
2.41,-0.04319,-59.24421,-0.04338
2.42,-0.04338,-59.2702,-0.0434
2.43,-0.0434,-59.26924,-0.04339
2.44,-0.04339,-59.26257,-0.04331
2.45,-0.04331,-59.25645,-0.04322
2.46,-0.04322,-59.25043,-0.04325
2.47,-0.04325,-59.24888,-0.04331
2.48,-0.04331,-59.24827,-0.04315
2.49,-0.04315,-59.24189,-0.04295
2.5,-0.04295,-59.2343,-0.04275
2.5100000000000002,-0.04275,-59.23658,-0.04256
2.52,-0.04256,-59.24095,-0.04245
2.5300000000000002,-0.04245,-59.24519,-0.04236
2.54,-0.04236,-59.24941,-0.04232
2.5500000000000003,-0.04232,-59.24938,-0.04229
2.56,-0.04229,-59.24845,-0.04233
2.57,-0.04233,-59.26696,-0.04238
2.58,-0.04238,-59.28958,-0.04227
2.59,-0.04227,-59.30186,-0.04213
2.6,-0.04213,-59.31195,-0.04211
2.61,-0.04211,-59.31371,-0.04213
2.62,-0.04213,-59.31369,-0.04214
2.63,-0.04214,-59.31546,-0.04215
2.64,-0.04215,-59.31761,-0.04214
2.65,-0.04214,-59.32696,-0.04212
2.66,-0.04212,-59.33784,-0.04224
2.67,-0.04224,-59.32655,-0.04238
2.68,-0.04238,-59.31055,-0.04261
2.69,-0.04261,-59.2948,-0.04285
2.7,-0.04285,-59.27911,-0.04284
2.71,-0.04284,-59.26358,-0.04279
2.72,-0.04279,-59.24807,-0.04282
2.73,-0.04282,-59.24418,-0.04287
2.74,-0.04287,-59.24276,-0.04302
2.75,-0.04302,-59.23234,-0.0432
2.7600000000000002,-0.0432,-59.22,-0.04317
2.77,-0.04317,-59.19964,-0.04311
2.7800000000000002,-0.04311,-59.17758,-0.04282
2.79,-0.04282,-59.17568,-0.04248
2.8000000000000003,-0.04248,-59.17806,-0.04229
2.81,-0.04229,-59.18667,-0.04213
2.82,-0.04213,-59.19661,-0.04212
2.83,-0.04212,-59.19646,-0.04215
2.84,-0.04215,-59.19417,-0.04203
2.85,-0.04203,-59.19572,-0.04188
2.86,-0.04188,-59.1981,-0.04156
2.87,-0.04156,-59.20195,-0.0412
2.88,-0.0412,-59.20611,-0.04152
2.89,-0.04152,-59.22411,-0.04198
2.9,-0.04198,-59.24505,-0.0424
2.91,-0.0424,-59.25229,-0.04281
2.92,-0.04281,-59.25662,-0.04257
2.93,-0.04257,-59.2466,-0.04219
2.94,-0.04219,-59.23354,-0.04175
2.95,-0.04175,-59.24039,-0.0413
2.96,-0.0413,-59.25147,-0.0415
2.97,-0.0415,-59.25046,-0.04184
2.98,-0.04184,-59.24687,-0.04218
2.99,-0.04218,-59.24871,-0.04251
3.0,-0.04251,-59.2517,-0.04281
3.0100000000000002,-0.04281,-59.24979,-0.0431
3.02,-0.0431,-59.24683,-0.04342
3.0300000000000002,-0.04342,-59.24165,-0.04376
3.04,-0.04376,-59.23601,-0.04425
3.0500000000000003,-0.04425,-59.24233,-0.04478
3.06,-0.04478,-59.25119,-0.04445
3.0700000000000003,-0.04445,-59.25226,-0.04395
3.08,-0.04395,-59.25167,-0.04332
3.09,-0.04332,-59.24343,-0.04266
3.1,-0.04266,-59.23358,-0.04208
3.11,-0.04208,-59.24218,-0.04152
3.12,-0.04152,-59.25471,-0.04139
3.13,-0.04139,-59.25325,-0.04135
3.14,-0.04135,-59.24881,-0.04152
3.15,-0.04152,-59.25147,-0.04174
3.16,-0.04174,-59.25565,-0.04208
3.17,-0.04208,-59.25165,-0.04244
3.18,-0.04244,-59.2459,-0.04271
3.19,-0.04271,-59.22819,-0.04296
3.2,-0.04296,-59.20792,-0.04327
3.21,-0.04327,-59.19279,-0.0436
3.22,-0.0436,-59.17876,-0.04357
3.23,-0.04357,-59.16682,-0.04346
3.24,-0.04346,-59.15532,-0.04395
3.25,-0.04395,-59.13427,-0.04456
3.2600000000000002,-0.04456,-59.11119,-0.04453
3.27,-0.04453,-59.10192,-0.04437
3.2800000000000002,-0.04437,-59.09559,-0.04416
3.29,-0.04416,-59.10468,-0.04394
3.3000000000000003,-0.04394,-59.11705,-0.04354
3.31,-0.04354,-59.11531,-0.04309
3.3200000000000003,-0.04309,-59.11057,-0.04254
3.33,-0.04254,-59.11423,-0.04196
3.34,-0.04196,-59.11968,-0.0415
3.35,-0.0415,-59.11528,-0.04107
3.36,-0.04107,-59.10877,-0.0408
3.37,-0.0408,-59.09634,-0.04057
3.38,-0.04057,-59.08265,-0.04058
3.39,-0.04058,-59.08464,-0.04065
3.4,-0.04065,-59.08998,-0.04085
3.41,-0.04085,-59.06033,-0.04109
3.42,-0.04109,-59.02323,-0.04124
3.43,-0.04124,-59.00146,-0.04137
3.44,-0.04137,-58.98296,-0.0415
3.45,-0.0415,-58.98203,-0.04164
3.46,-0.04164,-58.98483,-0.04165
3.47,-0.04165,-58.9799,-0.04164
3.48,-0.04164,-58.97331,-0.04167
3.49,-0.04167,-58.99215,-0.04171
3.5,-0.04171,-59.01643,-0.04169
3.5100000000000002,-0.04169,-59.03295,-0.04166
3.52,-0.04166,-59.04781,-0.04172
3.5300000000000002,-0.04172,-59.05825,-0.04181
3.54,-0.04181,-59.06774,-0.04172
3.5500000000000003,-0.04172,-59.08276,-0.0416
3.56,-0.0416,-59.09896,-0.04125
3.5700000000000003,-0.04125,-59.09583,-0.04085
3.58,-0.04085,-59.08856,-0.04072
3.59,-0.04072,-59.08389,-0.04066
3.6,-0.04066,-59.07978,-0.04073
3.61,-0.04073,-59.07454,-0.04082
3.62,-0.04082,-59.06906,-0.04084
3.63,-0.04084,-59.072,-0.04084
3.64,-0.04084,-59.07674,-0.04103
3.65,-0.04103,-59.09042,-0.04126
3.66,-0.04126,-59.10601,-0.04176
3.67,-0.04176,-59.12294,-0.04232
3.68,-0.04232,-59.14017,-0.04297
3.69,-0.04297,-59.14372,-0.04364
3.7,-0.04364,-59.14434,-0.04341
3.71,-0.04341,-59.14211,-0.04299
3.72,-0.04299,-59.13927,-0.04243
3.73,-0.04243,-59.14226,-0.04185
3.74,-0.04185,-59.14648,-0.04131
3.75,-0.04131,-59.13968,-0.04077
3.7600000000000002,-0.04077,-59.13051,-0.04025
3.77,-0.04025,-59.12141,-0.03975
3.7800000000000002,-0.03975,-59.11233,-0.03954
3.79,-0.03954,-59.11166,-0.0394
3.8000000000000003,-0.0394,-59.11278,-0.0397
3.81,-0.0397,-59.11971,-0.04009
3.8200000000000003,-0.04009,-59.12789,-0.04067
3.83,-0.04067,-59.12345,-0.0413
3.84,-0.0413,-59.11632,-0.04181
3.85,-0.04181,-59.11348,-0.0423
3.86,-0.0423,-59.11157,-0.04225
3.87,-0.04225,-59.12444,-0.0421
3.88,-0.0421,-59.14047,-0.04172
3.89,-0.04172,-59.13859,-0.04129
3.9,-0.04129,-59.13288,-0.04105
3.91,-0.04105,-59.13851,-0.04085
3.92,-0.04085,-59.14657,-0.04037
3.93,-0.04037,-59.15649,-0.03984
3.94,-0.03984,-59.16681,-0.0401
3.95,-0.0401,-59.17392,-0.04052
3.96,-0.04052,-59.18034,-0.04096
3.97,-0.04096,-59.19781,-0.0414
3.98,-0.0414,-59.21765,-0.04157
3.99,-0.04157,-59.22063,-0.04168
4.0,-0.04168,-59.22,-0.04172
4.01,-0.04172,-59.20845,-0.04175
4.0200000000000005,-0.04175,-59.19456,-0.04183
4.03,-0.04183,-59.1997,-0.04192
4.04,-0.04192,-59.20892,-0.04192
4.05,-0.04192,-59.1944,-0.04191
4.0600000000000005,-0.04191,-59.1748,-0.04214
4.07,-0.04214,-59.16091,-0.04241
4.08,-0.04241,-59.14824,-0.04286
4.09,-0.04286,-59.13931,-0.04334
4.1,-0.04334,-59.13119,-0.04394
4.11,-0.04394,-59.12948,-0.04456
